group_type,group_value,count,pct_hit_1R,pct_hit_2R,pct_hit_3R,pct_hit_4R,sl_rate,median_MFE_R,mean_MFE_R,median_MAE_R,mean_MAE_R,avg_time_to_1R_bars,avg_time_to_SL_bars,expiration_rate,ambiguous_rate,expectancy_1R,expectancy_2R,expectancy_3R
direction,LONG,275,0.5163636363636364,0.34545454545454546,0.2109090909090909,0.13090909090909092,0.730909090909091,1.0870646766169223,1.9882136334925364,1.0677789363920835,1.0776515366994934,22.809859154929576,43.06467661691542,0.02181818181818182,0.0,0.054545454545454564,0.10181818181818181,-0.040000000000000036
direction,SHORT,367,0.5040871934604905,0.35149863760217986,0.26975476839237056,0.2098092643051771,0.8065395095367848,0.9850746268656432,2.6663049331190325,1.059171597633123,1.0615053317187735,10.405405405405405,36.58108108108108,0.0,0.0,0.008174386920980936,0.05722070844686655,0.08719346049046317
confidence,MILD,343,0.5131195335276968,0.3673469387755102,0.2478134110787172,0.1749271137026239,0.8046647230320699,1.0982566784425585,2.3287432487226587,1.0778749691492449,1.0863507607984682,12.181818181818182,37.02536231884058,0.0,0.0,0.026239067055393583,0.11661807580174932,0.017492711370262426
confidence,MID,88,0.5,0.375,0.2840909090909091,0.19318181818181818,0.7386363636363636,1.0068995678075878,2.286014630804169,1.0835037698021959,1.009022427869934,17.522727272727273,42.56923076923077,0.0,0.0,0.0,0.125,0.20454545454545459
confidence,HIGH,136,0.5147058823529411,0.27941176470588236,0.21323529411764705,0.16176470588235295,0.7205882352941176,0.8292595767372519,2.6068051255352116,1.0429844413012725,1.0779934165468623,22.15714285714286,43.19387755102041,0.04411764705882353,0.0,0.07352941176470584,-0.07352941176470584,-0.02941176470588236
confidence,PREMIUM,75,0.49333333333333335,0.36,0.24,0.18666666666666668,0.7733333333333333,1.0526315789473968,2.2778525435960666,1.01572310452169,1.0387632010179804,18.864864864864863,39.05172413793103,0.0,0.0,-0.013333333333333364,0.10666666666666669,0.013333333333333308
direction_confidence,LONG/MILD,148,0.5,0.34459459459459457,0.19594594594594594,0.12162162162162163,0.831081081081081,1.0094523310083092,1.9913190602345663,1.1175213958294807,1.140108997648381,15.013513513513514,39.447154471544714,0.0,0.0,0.0,0.06756756756756754,-0.16216216216216217
direction_confidence,LONG/MID,34,0.5294117647058824,0.4411764705882353,0.2647058823529412,0.14705882352941177,0.6176470588235294,1.0589552482840923,2.2015916917941003,1.044924775599295,0.9030072164794949,24.11111111111111,47.666666666666664,0.0,0.0,0.05882352941176472,0.32352941176470584,0.20588235294117652
direction_confidence,LONG/HIGH,56,0.5535714285714286,0.2857142857142857,0.17857142857142858,0.125,0.5714285714285714,1.1107708577183746,1.8365763512507907,1.0239465296933656,1.0383898597552197,35.96774193548387,50.65625,0.10714285714285714,0.0,0.2142857142857143,0.05357142857142849,-0.017857142857142905
direction_confidence,LONG/PREMIUM,37,0.5135135135135135,0.35135135135135137,0.2702702702702703,0.16216216216216217,0.6756756756756757,1.0410443754784544,2.009219867694272,1.063333333333334,1.0477287414541931,30.473684210526315,47.28,0.0,0.0,0.027027027027026973,0.10810810810810811,0.18918918918918926
direction_confidence,SHORT/MILD,195,0.5230769230769231,0.38461538461538464,0.28717948717948716,0.2153846153846154,0.7846153846153846,1.1801339969214797,2.5848395558828514,1.0043668122270837,1.0455496374457136,10.127450980392156,35.07843137254902,0.0,0.0,0.046153846153846156,0.15384615384615385,0.15384615384615374
direction_confidence,SHORT/MID,54,0.48148148148148145,0.3333333333333333,0.2962962962962963,0.2222222222222222,0.8148148148148148,0.942369970597001,2.3391698146253237,1.1527346068060884,1.075772746152803,12.961538461538462,40.13636363636363,0.0,0.0,-0.037037037037037035,0.0,0.2037037037037036
direction_confidence,SHORT/HIGH,80,0.4875,0.275,0.2375,0.1875,0.825,0.7619877722270634,3.1459652675343057,1.109404332683054,1.1057159063010125,11.179487179487179,39.57575757575758,0.0,0.0,-0.024999999999999967,-0.16249999999999998,-0.03750000000000009
direction_confidence,SHORT/PREMIUM,38,0.47368421052631576,0.3684210526315789,0.21052631578947367,0.21052631578947367,0.868421052631579,1.0559479420622653,2.539415938553078,0.9739978739149102,1.030033595856405,6.611111111111111,32.81818181818182,0.0,0.0,-0.05263157894736842,0.10526315789473684,-0.1578947368421053
month,2025-06,38,0.7631578947368421,0.6052631578947368,0.42105263157894735,0.2631578947368421,0.631578947368421,2.8278652292014375,3.2034668281710013,1.0255296587122287,1.0926816904334262,12.379310344827585,50.291666666666664,0.0,0.0,0.5263157894736843,0.868421052631579,0.763157894736842
month,2025-07,88,0.5568181818181818,0.375,0.2159090909090909,0.13636363636363635,0.6818181818181818,1.1658781415587618,2.140722980692002,1.0343674798162887,1.000338771846416,24.93877551020408,43.11666666666667,0.022727272727272728,0.0,0.1363636363636363,0.18181818181818177,0.0
month,2025-08,55,0.45454545454545453,0.2545454545454545,0.18181818181818182,0.09090909090909091,0.8909090909090909,0.6867500350805267,1.3696517063920783,1.112702366127049,1.1843000908837524,8.88,40.673469387755105,0.0,0.0,-0.09090909090909088,-0.23636363636363644,-0.25454545454545463
month,2025-09,49,0.4897959183673469,0.3673469387755102,0.30612244897959184,0.2653061224489796,0.7551020408163265,0.9666438705735588,2.554050733251916,0.989898989898991,0.9924270341316359,22.458333333333332,58.486486486486484,0.04081632653061224,0.0,0.02040816326530609,0.1428571428571429,0.2857142857142857
month,2025-10,76,0.5,0.32894736842105265,0.25,0.18421052631578946,0.8421052631578947,0.9246437802585948,2.640560128626037,1.1340657754165133,1.1817235141701974,13.842105263157896,42.546875,0.0,0.0,0.0,0.0,0.013157894736842146
month,2025-11,74,0.36486486486486486,0.28378378378378377,0.17567567567567569,0.10810810810810811,0.918918918918919,0.5893045216783244,1.9032141158763245,1.1320948761663756,1.0570389390868875,5.222222222222222,41.86764705882353,0.0,0.0,-0.27027027027027023,-0.14864864864864868,-0.29729729729729726
month,2025-12,35,0.5142857142857142,0.22857142857142856,0.05714285714285714,0.0,0.9714285714285714,0.9850746268656432,1.1581253393062727,1.178571428571454,1.2785113011430158,15.61111111111111,34.5,0.0,0.0,0.028571428571428525,-0.28571428571428575,-0.7428571428571429
month,2026-01,54,0.5740740740740741,0.48148148148148145,0.42592592592592593,0.42592592592592593,0.5555555555555556,1.64724083607199,3.8615126364846395,0.8584037070766188,0.7899425262745748,9.32258064516129,31.766666666666666,0.0,0.0,0.14814814814814814,0.49999999999999994,0.7777777777777777
month,2026-02,79,0.46835443037974683,0.3037974683544304,0.25316455696202533,0.21518987341772153,0.7721518987341772,0.6995645863570384,3.079313083181011,1.0778749691492449,1.138387657290343,11.297297297297296,18.672131147540984,0.0,0.0,-0.06329113924050628,-0.08860759493670889,0.012658227848101333
month,2026-03,78,0.5384615384615384,0.3333333333333333,0.19230769230769232,0.11538461538461539,0.7692307692307693,1.24312866393851,1.9815717779698343,1.0808014411438855,1.1103499504133658,26.428571428571427,41.93333333333333,0.02564102564102564,0.0,0.10256410256410253,0.0641025641025641,-0.11538461538461531
month,2026-04,16,0.4375,0.375,0.3125,0.125,0.625,0.69689762452296,1.6433220164728974,0.5406678082191652,0.6645563697976414,8.142857142857142,18.2,0.0,0.0,-0.125,0.125,0.3125
htf_regime,bullish,169,0.5325443786982249,0.3609467455621302,0.22485207100591717,0.15976331360946747,0.6863905325443787,1.119777755106919,2.2703347453545275,1.0694444444444475,1.0472175258002534,20.91111111111111,36.043103448275865,0.03550295857988166,0.0,0.10059171597633143,0.1775147928994083,0.035502958579881616
htf_regime,bearish,193,0.5699481865284974,0.42487046632124353,0.32124352331606215,0.2538860103626943,0.7409326424870466,1.34336000000002,3.1418596648424493,1.0294117647058665,1.0062624155090711,9.50909090909091,39.00699300699301,0.0,0.0,0.13989637305699487,0.27461139896373055,0.29533678756476667
htf_regime,neutral,280,0.45357142857142857,0.2892857142857143,0.20357142857142857,0.13214285714285715,0.85,0.7768314048899124,1.9115256156629454,1.0684818917018273,1.124065075998775,17.606299212598426,40.86134453781513,0.0,0.0,-0.0928571428571428,-0.12142857142857133,-0.1499999999999999
session,Asian,169,0.5207100591715976,0.3668639053254438,0.23668639053254437,0.14792899408284024,0.7041420118343196,1.2084942084941928,2.0910075632022154,1.029508711902107,0.9946996236413567,26.681818181818183,48.30252100840336,0.03550295857988166,0.0,0.07692307692307693,0.17159763313609466,0.07100591715976323
session,European,281,0.505338078291815,0.3594306049822064,0.25622775800711745,0.199288256227758,0.797153024911032,1.0526315789473968,2.4751117720923617,1.109002597209297,1.1119231997767076,10.070422535211268,33.82142857142857,0.0,0.0,0.010676156583629914,0.09608540925266906,0.053380782918149405
session,US,192,0.5052083333333334,0.3177083333333333,0.234375,0.16666666666666666,0.8020833333333334,0.9580962266385757,2.481281112114607,1.064234416334358,1.0696456968776376,14.288659793814434,40.0,0.0,0.0,0.010416666666666685,-0.03645833333333337,-0.03125
