timestamp,event_label,event_value,event_price,ret_60m,ret_240m,ret_1440m,mfe_24h,mae_24h,mfe_mae_ratio,reversal,continuation
2026-03-31 16:00:00,OI_SPIKE,0.004040452617006585,66806.62,0.013319937455300098,0.01629703762890564,0.03127444555644353,0.03625523937597818,0.00017094114325793243,212.0919439580019,False,True
2026-03-31 23:00:00,OI_SPIKE,0.0043018044693354796,68166.82,0.0007559396198913024,-0.006452992819673921,-0.0003432755114586353,0.015577813370199744,0.008237438683512066,1.8910991594244047,True,False
2026-04-01 02:00:00,OI_SPIKE,0.005256832661425959,67831.65,-0.0015436746710420853,0.009630902388486774,-0.007766433515917683,0.0205959902199049,0.010712403428193174,1.9226301882638077,False,True
2026-04-01 05:00:00,OI_SPIKE,0.004600283297271579,68260.88,0.0032822606447497943,0.005691986391033833,-0.027898995735185415,0.014178399106486786,0.02987582345847293,0.474577684066001,True,False
2026-04-01 07:00:00,OI_SPIKE,0.004556542388007401,69193.75,-0.0070397976695872186,-0.008700496793424321,-0.036676000361304306,0.0005052479450818377,0.042955035678800484,0.011762251784863299,False,True
2026-04-02 13:00:00,OI_SPIKE,0.004416531289417769,66082.11,0.00226309359673901,0.014027548454490953,0.009326427379513119,0.019751336632562223,0.0047277546071092195,4.177741501824511,False,True
2026-04-02 14:00:00,OI_SPIKE,0.00794833080003432,66231.66,0.007916606650052282,0.007552128392977049,0.0062870234567576015,0.01744875487040493,0.00021319109320240342,81.84560906509869,False,False
2026-04-02 16:00:00,OI_SPIKE,0.007894722667714626,66813.75,0.002923500028063112,0.0010472395277918267,0.00022839610110186542,0.008584610203738107,0.007958691137677498,1.078645980253892,False,False
2026-04-02 17:00:00,OI_SPIKE,0.007476454062185889,67009.08,-0.004137200510736693,-5.0142458305659206e-05,-6.491657548508084e-05,0.005644608163550451,0.010850469816926328,0.520217857732305,True,False
2026-04-04 15:00:00,OI_SPIKE,0.01117818780965818,67194.23,0.0028487565078132195,0.001666660961811829,-0.004081749281150919,0.004755616665300026,0.008456380852939325,0.562370208721978,True,False
2026-04-04 17:00:00,OI_SPIKE,0.006853609106918679,67340.01,-0.00015711313378185935,-0.0008430352178443324,-0.001471933253351096,0.005717106368116151,0.01060290902837704,0.5392016806722763,False,True
2026-04-05 17:00:00,OI_SPIKE,0.00310569351408585,67240.89,0.0018920035115537759,0.005747246950479048,0.0375830837456196,0.044453605536750124,0.0007464208162622822,59.555688384137625,False,True
2026-04-05 23:00:00,OI_SPIKE,0.0049106255506357055,68410.86,0.010560165447415703,0.012003942064169302,0.005397242484599608,0.026591245892830535,0.00161041682563263,16.512026867568608,False,False
