entry_time,entry_hour,entry_price,exit_time,exit_price,direction,dir_label,strategy,stage,cfx_score,confidence_raw,confidence_mode,risk_fraction,equity_before,equity_after,risk_amount,stop_price,stop_distance_pct,position_notional,gross_return_pct,gross_pnl_cash,cost_cash,net_pnl_cash,net_r_multiple,win,exit_reason,ambiguous_candle,symbol,period
2025-12-01 15:05:00,15,85764.82,2025-12-01 15:30:00,84850.48169999999,-1,SHORT,RSI_TREND,0,1.0,0.728786045369334,MILD,0.025,10000.0,10306.405904721772,250.0,86274.00000000001,0.004609203945542875,54239.30096253418,0.0066491492199248995,360.645205684306,54.23930096253418,306.40590472177183,1.2256236188870873,1,trailing_stop,False,BTCUSDT,TEST
2025-12-02 13:40:00,13,87535.89,2025-12-02 15:00:00,89715.1302,1,LONG,RSI_TREND,0,1.0,0.7210909272131333,MILD,0.025,10306.405904721772,10807.83243279542,257.66014761804433,87125.1996,0.004,64415.036904511086,0.008784308636149086,565.8415649781588,64.41503690451108,501.42652807364766,1.9460771590372712,1,trailing_stop,False,BTCUSDT,TEST
2025-12-03 00:55:00,0,91511.5,2025-12-03 02:10:00,92419.49045,1,LONG,RSI_TREND,0,1.0,0.7337448257620318,MILD,0.025,10807.83243279542,11015.475951230848,270.1958108198855,90999.55,0.00720673287357678,37492.13625088678,0.006538321877578179,245.13565468631498,37.49213625088678,207.6435184354282,0.7684927379345822,1,trailing_stop,False,BTCUSDT,TEST
2025-12-05 16:05:00,16,90026.35,2025-12-05 16:50:00,88632.55799999999,-1,SHORT,RSI_TREND,0,1.0,0.7231528960125027,MILD,0.025,11015.475951230848,11113.085971164997,275.3868987807712,91101.32,0.017978172674084913,15317.847023337057,0.007372306746858027,112.92786695748694,15.317847023337057,97.61001993414989,0.35444685410345117,1,trailing_stop,False,BTCUSDT,TEST
2025-12-06 19:10:00,19,89495.71,2025-12-07 00:05:00,89325.89578499999,-1,SHORT,RSI_TREND,0,1.0,0.8690211592536261,HIGH,0.035,11113.085971164997,11445.57086970831,388.95800899077494,89845.1488,0.004,97239.50224769373,0.0044192369444301435,429.72440079100613,97.23950224769374,332.4848985433124,0.8548092361075359,1,trailing_stop,False,BTCUSDT,TEST
2025-12-08 20:25:00,20,90500.01,2025-12-08 22:25:00,90917.13,1,LONG,RSI_SCALP,1,0.0,0.7539337322332571,MILD,0.025,11445.57086970831,11809.780311653318,286.13927174270776,90091.74575999999,0.004,71534.81793567694,0.006091359039628786,435.7442598806851,71.53481793567694,364.20944194500817,1.2728397599071963,1,trailing_stop,False,BTCUSDT,TEST
2025-12-09 00:35:00,0,90559.85,2025-12-09 03:35:00,90269.09999999999,-1,SHORT,RSI_SCALP,1,1.0,0.7740149011729638,MILD,0.025,11809.780311653318,12170.095793037292,295.244507791333,90884.16832,0.004,73811.12694783324,0.0058815875909689124,434.12660833180706,73.81112694783324,360.3154813839738,1.220396897742228,1,trailing_stop,False,BTCUSDT,TEST
2025-12-09 12:05:00,12,90435.76,2025-12-09 14:30:00,90039.35616000001,1,LONG,RSI_SCALP,1,1.0,0.7385040181043775,MILD,0.025,12170.095793037292,11760.628027752591,304.2523948259323,90039.35616000001,0.004,76063.09870648307,-0.004383264319335445,-333.40466657821725,76.06309870648307,-409.4677652847003,-1.345816079833861,0,stop_loss,False,BTCUSDT,TEST
2025-12-09 15:05:00,15,90942.79,2025-12-09 17:15:00,94161.149445,1,LONG,RSI_TREND,0,1.0,0.8200000000000001,HIGH,0.035,11760.628027752591,12370.532031145216,411.62198097134075,90089.06,0.0063158995416696005,65172.344533923504,0.010358325341129272,675.0763479265477,65.1723445339235,609.9040033926242,1.4817090232970063,1,trailing_stop,False,BTCUSDT,TEST
2025-12-09 22:40:00,22,92758.25,2025-12-10 00:15:00,92506.67,1,LONG,RSI_SCALP,2,1.0,0.7604518295882191,MILD,0.025,12370.532031145216,12129.989987241865,309.2633007786304,92506.67,0.004772765660788665,64797.50374493075,-0.002712211582258206,-175.74454015842065,64.79750374493075,-240.54204390335138,-0.777790456538943,0,stop_loss,False,BTCUSDT,TEST
2025-12-10 18:40:00,18,92704.56,2025-12-10 19:00:00,92038.99,1,LONG,RSI_TREND,0,1.0,0.8200000000000001,HIGH,0.035,12129.989987241865,11538.061480480992,424.5496495534653,92038.99,0.005866574899497337,72367.54952022206,-0.007179474235139982,-519.5609572406511,72.36754952022207,-591.9285067608731,-1.394250371855104,0,stop_loss,False,BTCUSDT,TEST
