entry_time,entry_hour,entry_price,exit_time,exit_price,direction,dir_label,strategy,stage,cfx_score,confidence_raw,confidence_mode,risk_fraction,equity_before,equity_after,risk_amount,stop_price,stop_distance_pct,position_notional,gross_return_pct_on_notional,gross_pnl_cash,cost_cash,net_pnl_cash,net_r_multiple,win,exit_reason,symbol,period
2026-01-11 23:20:00,23,90781.42,2026-01-12 01:30:00,91297.30500000001,1,LONG,RSI_SCALP,1,0.0,0.8473662448474967,PREMIUM,0.0325,10000.0,10354.40647799957,325.0,90327.5129,0.005,65000.0,0.006252407353839541,406.40647799957014,52.0,354.40647799957014,1.090481470767908,1,trailing_stop,BTCUSDT,TRAIN
2026-01-13 22:05:00,22,94700.4,2026-01-13 22:15:00,95431.23821,1,LONG,RSI_TREND,0,1.0,0.9269349080635966,HIGH,0.035,10354.40647799957,10655.23654623257,362.404226729985,94083.48,0.006514439220953642,55630.916866077234,0.006207605791527793,345.3348017258622,44.50473349286179,300.83006823300036,0.8300953632561757,1,trailing_stop,BTCUSDT,TRAIN
2026-01-14 14:00:00,14,95244.92,2026-01-14 14:45:00,96196.648295,1,LONG,RSI_TREND,0,1.0,0.8457033744850767,PREMIUM,0.0325,10655.23654623257,11074.096457745458,346.29518775255855,94768.6954,0.005,69259.03755051171,0.006847729311967499,474.26714155329677,55.407230040409374,418.8599115128874,1.2095458623934998,1,trailing_stop,BTCUSDT,TRAIN
2026-01-20 14:45:00,14,90449.78,2026-01-20 15:20:00,90431.690044,-1,SHORT,RSI_TREND,0,1.0,0.8951207311666263,HIGH,0.035,11074.096457745458,11120.328132211935,387.59337602109105,91268.75,0.009054416716104794,42807.10598747807,0.001880000000000026,80.47735925645988,34.245684789982455,46.23167446647742,0.11927880435181046,1,break_even_stop,BTCUSDT,TRAIN
2026-01-22 13:30:00,13,89975.0,2026-01-22 14:35:00,89629.08402,-1,SHORT,RSI_TREND,0,1.0,0.8888467719043088,HIGH,0.035,11120.328132211935,11447.52839182665,389.21148462741775,90424.87499999999,0.005,77842.29692548355,0.005003373648235687,389.4740971551022,62.27383754038684,327.2002596147153,0.8406747296471372,1,trailing_stop,BTCUSDT,TRAIN
2026-01-26 15:40:00,15,87476.6,2026-01-27 02:05:00,88778.91,-1,SHORT,RSI_TREND,0,1.0,0.881196218610197,HIGH,0.035,11447.52839182665,11025.33473698413,400.6634937139328,88778.91,0.014887524206473475,26912.70141073652,-0.014887524206473435,-400.6634937139317,21.530161128589217,-422.1936548425209,-1.0537362686303542,0,stop_loss,BTCUSDT,TRAIN
2026-01-28 09:30:00,9,89138.04,2026-01-28 14:25:00,90014.5037,1,LONG,RSI_TREND,0,1.0,0.8541354119129438,HIGH,0.035,11025.33473698413,11467.167187450195,385.8867157944446,88692.3498,0.005,77177.34315888892,0.006524898427203463,503.5743249931763,61.74187452711114,441.83245046606515,1.1449796854406926,1,trailing_stop,BTCUSDT,TRAIN
2026-01-31 12:10:00,12,82842.66,2026-01-31 14:25:00,81906.48801999999,-1,SHORT,RSI_TREND,0,1.0,0.8721850583320357,HIGH,0.035,11467.167187450195,11944.380605723876,401.3508515607569,83256.87329999999,0.005,80270.17031215137,0.006745090391834386,541.429554523402,64.2161362497211,477.2134182736809,1.1890180783668771,1,trailing_stop,BTCUSDT,TRAIN
2026-02-04 14:55:00,14,74359.53,2026-02-04 15:05:00,74344.658094,-1,SHORT,RSI_TREND,0,1.0,0.8200000000000001,PREMIUM,0.0325,11944.380605723876,11971.714926626099,388.192369686026,75500.04,0.015337778493220638,25309.55639094727,0.0018799999999999481,47.58196601497956,20.247645112757816,27.33432090222174,0.07041436936107225,1,break_even_stop,BTCUSDT,TRAIN
2026-02-08 23:20:00,23,70362.08,2026-02-09 08:35:00,69710.562215,-1,SHORT,RSI_SCALP,1,1.0,0.9666976180910658,HIGH,0.035,11971.714926626099,12068.628067249323,419.0100224319135,72184.0,0.025893492631258175,16182.058882473502,0.006788925224353837,109.85878772920343,12.945647105978802,96.91314062322462,0.23129074588895399,1,trailing_stop,BTCUSDT,TRAIN
2026-02-09 23:20:00,23,70330.0,2026-02-10 01:05:00,70063.875,-1,SHORT,RSI_SCALP,1,0.0,0.8037918184373748,PREMIUM,0.0325,12068.628067249323,12474.005420458181,392.23041218560303,70681.65,0.005,78446.08243712061,0.005967592065974664,468.13421915855537,62.75686594969649,405.3773532088589,1.0335184131949329,1,trailing_stop,BTCUSDT,TRAIN
2026-02-15 17:40:00,17,68823.06,2026-02-15 17:55:00,68596.611895,-1,SHORT,RSI_SCALP,1,1.0,0.8496945672353742,PREMIUM,0.0325,12474.005420458181,12829.715074652118,405.4051761648909,69167.17529999999,0.005,81081.03523297819,0.0051870882157811875,420.57448238032043,64.86482818638255,355.70965419393787,0.8774176431562375,1,trailing_stop,BTCUSDT,TRAIN
2026-02-16 13:25:00,13,68611.0,2026-02-16 14:20:00,68597.2778,-1,SHORT,RSI_TREND,0,1.0,0.8200000000000001,PREMIUM,0.0325,12829.715074652118,12851.488170239058,416.96573992619386,70030.05,0.02068254361545529,20160.27369160779,0.0018800000000000982,37.90131454022462,16.128218953286233,21.773095586938386,0.052217948627607605,1,break_even_stop,BTCUSDT,TRAIN
