label,trades,win_rate,gross_expectancy,net_expectancy,profit_factor,total_pnl,total_return_pct,max_drawdown,avg_win,avg_loss,median_trade,worst_trade,best_trade,total_fees,ambiguous_trades
delay_1,515,0.7514563106796116,249.8642057678832,128.48184512356886,2.0619169112186992,66168.15023863796,-0.379321789450334,-0.9018657505492128,331.9851459204894,-486.7976658796206,139.98996757014865,-1780.6671440266052,2427.76895854203,62511.915731821886,37
delay_2,505,0.7643564356435644,229.19557672393702,109.22788645075654,1.896714193919237,55160.082657632054,-0.18857857554192692,-0.8375623687803386,302.26332377677136,-516.9206749596783,145.39874100365898,-1715.8931021834305,2082.750921310916,60583.68358795615,32
delay_3,508,0.7244094488188977,243.9047763514048,117.97314546089227,1.8264922623563402,59930.357894133274,-0.3797620037807271,-0.9081050338333003,359.8968928802705,-517.9407048986162,123.85387545552454,-3548.013471123286,3078.1891486112536,63973.26849238035,25
fee_1x,515,0.7514563106796116,249.8642057678832,128.48184512356886,2.0619169112186992,66168.15023863796,-0.379321789450334,-0.9018657505492128,331.9851459204894,-486.7976658796206,139.98996757014865,-1780.6671440266052,2427.76895854203,62511.915731821886,37
fee_2x,515,0.6388349514563106,150.1722786617375,7.477161948150469,1.0779784502897456,3850.7384032974915,-0.8828377744586677,-0.9596974534020666,161.80189261797318,-265.4950767097618,22.303499886270146,-1168.0789813496112,973.377746651229,73487.98510749731,37
fee_3x,515,0.39223300970873787,97.91702482172383,-40.92812726416755,0.5201854525443187,-21077.985541046288,-0.978505932226668,-0.984665795548337,113.12602421837667,-140.34965633596926,-7.395802235059588,-887.6203749677546,484.72234573058597,71505.25332423407,37
fee_5x,515,0.1883495145631068,51.3853691450118,-70.29888373658967,0.1015058281668651,-36203.92512434368,-0.9993390129271612,-0.9993700509365288,42.16573143420939,-96.39713175469376,-12.825532274832447,-983.7166445442545,293.29366958934895,62667.39023402476,37
sizing_compound,515,0.7514563106796116,249.8642057678832,128.48184512356886,2.0619169112186992,66168.15023863796,-0.379321789450334,-0.9018657505492128,331.9851459204894,-486.7976658796206,139.98996757014865,-1780.6671440266052,2427.76895854203,62511.915731821886,37
sizing_fixed_notional,515,0.7514563106796116,144.98446219605242,55.99013243712304,1.6552144223871945,28834.918205118363,0.0054905473938851035,-0.15739617480585466,188.2255488486129,-343.81538436949086,107.50612233001557,-890.3343073221145,811.3272457301222,45832.07982584863,37
sizing_fixed_risk,515,0.7514563106796116,144.98446219605242,55.99013243712304,1.6552144223871945,28834.918205118363,0.0054905473938851035,-0.15739617480585466,188.2255488486129,-343.81538436949086,107.50612233001557,-890.3343073221145,811.3272457301222,45832.07982584863,37
random_baseline,1822,0.411635565312843,1.2812739100181365,-21.4622620678586,0.5031037925254767,-39104.24148763837,-0.9999441672238871,-0.9999489908601733,52.79034642198496,-73.41138181355137,-0.8475943794526564,-615.795707272358,484.6190260488206,41438.72255169141,23
